rank, treatment, median, iqr, plot, min, max
 0,             rand_p90,  0.00,  0.00, *                   |                   ,  0.00,  0.86
 1,              PI_sqrt,  0.03,  0.11, -*---               |                   ,  0.00,  0.86
 2,             UCB_sqrt,  0.03,  0.11, -*---               |                   ,  0.00,  0.86
 3,                PI_15,  0.22,  0.20,  ---------*         |                   ,  0.00,  0.86
 3,               UCB_15,  0.22,  0.20,  ---------*         |                   ,  0.00,  0.86
 4,  ExpProgressive_sqrt,  0.23,  0.20,   --------*         |                   ,  0.00,  0.86
 4,    SimAnnealing_sqrt,  0.23,  0.13,      -----*         |                   ,  0.00,  0.86
 4,     progressive_sqrt,  0.23,  0.20,   --------*         |                   ,  0.00,  0.86
 5,                 PI_9,  0.23,  0.24,   --------*--       |                   ,  0.00,  0.86
 5,                UCB_9,  0.23,  0.24,   --------*--       |                   ,  0.00,  0.86
 5,            bonr_sqrt,  0.24,  0.13,      ------*        |                   ,  0.00,  0.86
 5,              b2_sqrt,  0.25,  0.27, -----------*        |                   ,  0.00,  0.86
 6,    ExpProgressive_15,  0.25,  0.08,          --*-       |                   ,  0.00,  0.86
 6,       progressive_15,  0.25,  0.08,          --*-       |                   ,  0.00,  0.86
 6,                b2_15,  0.26,  0.07,          --*-       |                   ,  0.00,  0.86
 6,              bonr_15,  0.26,  0.08,          --*-       |                   ,  0.00,  0.86
 6,                 b2_9,  0.26,  0.03,            -*       |                   ,  0.00,  0.86
 6,      SimAnnealing_15,  0.26,  0.06,           --*       |                   ,  0.00,  0.86
 6,               bonr_9,  0.26,  0.07,          ---*       |                   ,  0.00,  0.86
 6,       SimAnnealing_9,  0.26,  0.04,            -*       |                   ,  0.00,  0.86
 6,        progressive_9,  0.26,  0.03,            -*       |                   ,  0.00,  0.86
 6,     ExpProgressive_9,  0.26,  0.04,            -*       |                   ,  0.00,  0.86
 7,            rand_sqrt,  0.30,  0.00,              *      |                   ,  0.00,  0.86
 8,                 base,  0.36,  0.19,               --*---|-                  ,  0.00,  0.86
 9,               rand_9,  0.44,  0.00,                     *                   ,  0.00,  0.86
 9,              rand_15,  0.44,  0.00,                     *                   ,  0.00,  0.86
